result_set,feature_set,window_type,protocol,family,model,activity_group,support,sensitivity,specificity,main_confusion,main_confusion_count
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,posture,1781,0.9966311061201573,0.9948149893942965,posture -> stairs,3
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,stairs,697,0.9827833572453372,0.9977473249483761,stairs -> locomotion,5
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,household,3226,0.9451332920024799,0.9662522202486679,household -> posture,164
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,jump,373,0.8847184986595175,0.9901880621422731,jump -> locomotion,27
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,5378,0.9092599479360357,0.9923482576775928,locomotion -> stairs,251
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,posture,4353,0.9478520560532966,0.9824233358264772,posture -> household,203
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,stairs,1719,0.9144851657940664,0.9792198049512378,stairs -> household,66
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,household,3226,0.930874147551147,0.9655755730356086,household -> posture,141
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,jump,373,0.8364611260053619,0.9861678931588989,jump -> locomotion,47
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,locomotion,5378,0.8551506136110079,0.9845931134319098,locomotion -> stairs,421
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,posture,4353,0.9501493223064553,0.9853216155572176,posture -> household,194
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,stairs,1719,0.9301919720767888,0.9636909227306827,stairs -> locomotion,53
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,household,598,0.9849498327759197,0.9983416252072969,household -> posture,8
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,jump,73,0.9863013698630136,1.0,jump -> locomotion,1
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,1079,0.9990732159406858,0.9989642672190575,locomotion -> stairs,1
