result_set,feature_set,protocol,family,model,activity_group,support,recall
canonical_protocol_only,acc16_hr,random_holdout,baseline,decision_tree_entropy,jump,161,0.8509316770186336
canonical_protocol_only,acc16_hr,random_holdout,baseline,decision_tree_entropy,locomotion,2145,0.9668997668997669
canonical_protocol_only,acc16_hr,random_holdout,baseline,decision_tree_entropy,posture,1790,0.9592178770949721
canonical_protocol_only,acc16_hr,random_holdout,baseline,decision_tree_entropy,stairs,676,0.8994082840236687
canonical_protocol_only,acc16_hr,random_holdout,baseline,dummy_most_frequent,household,1268,1.0
canonical_protocol_only,acc16_hr,random_holdout,baseline,dummy_most_frequent,jump,161,0.0
canonical_protocol_only,acc16_hr,random_holdout,baseline,dummy_most_frequent,locomotion,2145,0.0
canonical_protocol_only,acc16_hr,random_holdout,baseline,dummy_most_frequent,posture,1790,0.0
canonical_protocol_only,acc16_hr,random_holdout,baseline,dummy_most_frequent,stairs,676,0.0
canonical_protocol_only,acc16_hr,random_holdout,baseline,gaussian_nb,household,1268,0.8966876971608833
canonical_protocol_only,acc16_hr,random_holdout,baseline,gaussian_nb,jump,161,0.8322981366459627
canonical_protocol_only,acc16_hr,random_holdout,baseline,gaussian_nb,locomotion,2145,0.9365967365967366
canonical_protocol_only,acc16_hr,random_holdout,baseline,gaussian_nb,posture,1790,0.9156424581005587
canonical_protocol_only,acc16_hr,random_holdout,baseline,gaussian_nb,stairs,676,0.7825443786982249
canonical_protocol_only,acc16_hr,random_holdout,baseline,knn_k5,household,1268,0.9337539432176656
canonical_protocol_only,acc16_hr,random_holdout,baseline,knn_k5,jump,161,0.9130434782608695
canonical_protocol_only,acc16_hr,random_holdout,baseline,knn_k5,locomotion,2145,0.9682983682983684
canonical_protocol_only,acc16_hr,random_holdout,baseline,knn_k5,posture,1790,0.9631284916201117
canonical_protocol_only,acc16_hr,random_holdout,baseline,knn_k5,stairs,676,0.8772189349112426
canonical_protocol_only,acc16_hr,random_holdout,baseline,linear_svm,household,1268,0.9479495268138801
canonical_protocol_only,acc16_hr,random_holdout,baseline,linear_svm,jump,161,0.9316770186335404
canonical_protocol_only,acc16_hr,random_holdout,baseline,linear_svm,locomotion,2145,0.9636363636363636
canonical_protocol_only,acc16_hr,random_holdout,baseline,linear_svm,posture,1790,0.9631284916201117
canonical_protocol_only,acc16_hr,random_holdout,baseline,linear_svm,stairs,676,0.8920118343195266
canonical_protocol_only,acc16_hr,random_holdout,baseline,random_forest,household,1268,0.9850157728706624
canonical_protocol_only,acc16_hr,random_holdout,baseline,random_forest,jump,161,0.9565217391304348
canonical_protocol_only,acc16_hr,random_holdout,baseline,random_forest,locomotion,2145,0.9864801864801864
canonical_protocol_only,acc16_hr,random_holdout,baseline,random_forest,posture,1790,0.9770949720670391
canonical_protocol_only,acc16_hr,random_holdout,baseline,random_forest,stairs,676,0.9689349112426036
canonical_protocol_only,acc16_hr,random_holdout,baseline,rbf_svm,household,1268,0.9621451104100947
canonical_protocol_only,acc16_hr,random_holdout,baseline,rbf_svm,jump,161,0.9192546583850931
canonical_protocol_only,acc16_hr,random_holdout,baseline,rbf_svm,locomotion,2145,0.9687645687645687
canonical_protocol_only,acc16_hr,random_holdout,baseline,rbf_svm,posture,1790,0.9743016759776536
canonical_protocol_only,acc16_hr,random_holdout,baseline,rbf_svm,stairs,676,0.9230769230769231
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_attn_adj_resbn,household,6446,0.8752714861929879
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_attn_adj_resbn,jump,753,0.9083665338645418
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,10734,0.9194149431712316
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_attn_adj_resbn,posture,8763,0.9487618395526646
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_attn_adj_resbn,stairs,3422,0.8977206312098188
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,household,6446,0.8855103940428173
canonical_protocol_only_v3,acc16_gyro,loso,deep,improved_gnn_lstm_res,jump,753,0.848605577689243
