dataset,feature_set,protocol,family,model,fold,test_subject,perturbation,severity,status,clean_accuracy,perturbed_accuracy,accuracy_drop,clean_macro_f1,perturbed_macro_f1,macro_f1_drop,most_affected_class,n_eval_samples,checkpoint_path
pamap2,acc16_hr,loso,baseline,random_forest,5,105,gaussian_noise,low,ok,0.8954202077431539,0.8925873465533523,0.0028328611898016,0.8884028337631401,0.8814436369228648,0.0069591968402753,descending_stairs,4236.0,
pamap2,acc16_hr,loso,baseline,random_forest,6,106,gaussian_noise,low,ok,0.853357344996141,0.8510419346539748,0.0023154103421662,0.7744691234662614,0.773331140339271,0.0011379831269904,sitting,3887.0,
pamap2,acc16_hr,loso,baseline,random_forest,7,107,gaussian_noise,low,ok,0.8869228642521426,0.9037876693392314,-0.0168648050870887,0.8032710039486037,0.8174819860650024,-0.0142109821163987,sitting,3617.0,
pamap2,acc16_hr,loso,baseline,random_forest,8,108,gaussian_noise,low,ok,0.9259077526987244,0.9295878312070658,-0.0036800785083415,0.9091272800276397,0.9132084269467118,-0.0040811469190721,descending_stairs,4076.0,
pamap2,acc16_hr,loso,baseline,random_forest,9,109,gaussian_noise,low,ok,0.826530612244898,0.826530612244898,0.0,0.1810055865921787,0.1810055865921787,0.0,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,random_forest,aggregate,aggregate,gaussian_noise,low,ok,0.8529090367230703,0.8413523626610153,0.0115566740620549,0.8506025434252518,0.8419918350448482,0.0086107083804035,sitting,30199.0,
pamap2,acc16_hr,loso,baseline,random_forest,1,101,gaussian_noise,medium,ok,0.7746587689930466,0.6816894154004636,0.092969353592583,0.7568456652632939,0.6756533748109795,0.0811922904523143,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,random_forest,2,102,gaussian_noise,medium,ok,0.8241758241758241,0.6344322344322344,0.1897435897435897,0.8091207946905379,0.6086007156017981,0.2005200790887398,standing,4095.0,
pamap2,acc16_hr,loso,baseline,random_forest,3,103,gaussian_noise,medium,ok,0.9110044313146234,0.8914327917282127,0.0195716395864107,0.7252591375176795,0.645820908186251,0.0794382293314284,standing,2708.0,
pamap2,acc16_hr,loso,baseline,random_forest,4,104,gaussian_noise,medium,ok,0.7596554598499583,0.7252014448457905,0.0344540150041677,0.6274965458620146,0.713750237095079,-0.0862536912330643,sitting,3599.0,
pamap2,acc16_hr,loso,baseline,random_forest,5,105,gaussian_noise,medium,ok,0.8954202077431539,0.8935316336166195,0.0018885741265344,0.8884028337631401,0.8827128325674133,0.0056900011957268,descending_stairs,4236.0,
pamap2,acc16_hr,loso,baseline,random_forest,6,106,gaussian_noise,medium,ok,0.853357344996141,0.8435811679958837,0.0097761770002573,0.7744691234662614,0.7691754223141323,0.0052937011521291,ironing,3887.0,
pamap2,acc16_hr,loso,baseline,random_forest,7,107,gaussian_noise,medium,ok,0.8869228642521426,0.8946640862593309,-0.0077412220071882,0.8032710039486037,0.8070105219663124,-0.0037395180177086,ironing,3617.0,
pamap2,acc16_hr,loso,baseline,random_forest,8,108,gaussian_noise,medium,ok,0.9259077526987244,0.9183022571148184,0.0076054955839057,0.9091272800276397,0.9048051311305038,0.0043221488971358,ironing,4076.0,
pamap2,acc16_hr,loso,baseline,random_forest,9,109,gaussian_noise,medium,ok,0.826530612244898,0.826530612244898,0.0,0.1810055865921787,0.1810055865921787,0.0,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,random_forest,aggregate,aggregate,gaussian_noise,medium,ok,0.8529090367230703,0.8077419782111991,0.0451670585118711,0.8506025434252518,0.8162289005864333,0.0343736428388185,sitting,30199.0,
pamap2,acc16_hr,loso,baseline,random_forest,1,101,gaussian_noise,high,ok,0.7746587689930466,0.6229719289209374,0.1516868400721092,0.7568456652632939,0.6085143585018836,0.1483313067614102,ironing,3883.0,
pamap2,acc16_hr,loso,baseline,random_forest,2,102,gaussian_noise,high,ok,0.8241758241758241,0.5907203907203907,0.2334554334554334,0.8091207946905379,0.5755795177031938,0.233541276987344,standing,4095.0,
pamap2,acc16_hr,loso,baseline,random_forest,3,103,gaussian_noise,high,ok,0.9110044313146234,0.8389955686853766,0.0720088626292467,0.7252591375176795,0.6149961861421058,0.1102629513755736,sitting,2708.0,
pamap2,acc16_hr,loso,baseline,random_forest,4,104,gaussian_noise,high,ok,0.7596554598499583,0.7346485134759655,0.0250069463739928,0.6274965458620146,0.725859129784817,-0.0983625839228024,ironing,3599.0,
pamap2,acc16_hr,loso,baseline,random_forest,5,105,gaussian_noise,high,ok,0.8954202077431539,0.8661473087818697,0.0292728989612841,0.8884028337631401,0.8566137045074718,0.0317891292556683,standing,4236.0,
pamap2,acc16_hr,loso,baseline,random_forest,6,106,gaussian_noise,high,ok,0.853357344996141,0.8067918703370208,0.0465654746591202,0.7744691234662614,0.7406881237722319,0.0337809996940294,ironing,3887.0,
pamap2,acc16_hr,loso,baseline,random_forest,7,107,gaussian_noise,high,ok,0.8869228642521426,0.87641692009953,0.0105059441526126,0.8032710039486037,0.8601614673227502,-0.0568904633741464,ironing,3617.0,
pamap2,acc16_hr,loso,baseline,random_forest,8,108,gaussian_noise,high,ok,0.9259077526987244,0.8878802747791953,0.0380274779195289,0.9091272800276397,0.8793023205669218,0.0298249594607178,ironing,4076.0,
pamap2,acc16_hr,loso,baseline,random_forest,9,109,gaussian_noise,high,ok,0.826530612244898,0.826530612244898,0.0,0.1810055865921787,0.1810055865921787,0.0,rope_jumping,98.0,
pamap2,acc16_hr,loso,baseline,random_forest,aggregate,aggregate,gaussian_noise,high,ok,0.8529090367230703,0.7758203914036889,0.0770886453193814,0.8506025434252518,0.7885940901723574,0.0620084532528943,ironing,30199.0,
pamap2,acc16_hr,loso,baseline,random_forest,1,101,random_channel_dropout,low,ok,0.7746587689930466,0.7612670615503476,0.013391707442699,0.7568456652632939,0.7438353603930971,0.0130103048701968,ironing,3883.0,
