result_set,feature_set,window_type,protocol,family,model,activity_group,support,recall
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,jump,73,0.9315068493150684
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,locomotion,1079,0.995366079703429
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,posture,925,0.9989189189189189
canonical_protocol_only_v3,acc16_gyro,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,stairs,335,0.9880597014925373
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,household,6446,0.8752714861929879
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,jump,753,0.9083665338645418
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,10734,0.9194149431712316
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,posture,8763,0.9487618395526646
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,stairs,3422,0.8977206312098188
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,household,6446,0.8855103940428173
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,jump,753,0.848605577689243
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,locomotion,10734,0.8994782932737098
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,posture,8763,0.9570923199817414
canonical_protocol_only_v3,acc16_gyro,overlapping,loso,deep,improved_gnn_lstm_res,stairs,3422,0.9035651665692578
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,household,1331,0.9917355371900827
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,jump,153,1.0
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,2062,0.992725509214355
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,posture,1781,0.9966311061201573
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,stairs,697,0.9870875179340028
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,household,1331,0.9887302779864763
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,jump,153,0.9869281045751634
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,locomotion,2062,0.991270611057226
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,posture,1781,0.9966311061201573
canonical_protocol_only_v3,acc16_gyro,overlapping,random_holdout,deep,improved_gnn_lstm_res,stairs,697,0.9827833572453372
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,household,3226,0.9451332920024799
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,jump,373,0.8847184986595175
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,5378,0.9092599479360357
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,posture,4353,0.9478520560532966
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,stairs,1719,0.9144851657940664
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,household,3226,0.930874147551147
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,jump,373,0.8364611260053619
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,locomotion,5378,0.8551506136110079
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,posture,4353,0.9501493223064553
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,loso,deep,improved_gnn_lstm_res,stairs,1719,0.9301919720767888
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,household,598,0.9849498327759197
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,jump,73,0.9863013698630136
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,locomotion,1079,0.9990732159406858
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,posture,925,0.9978378378378379
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_attn_adj_resbn,stairs,335,0.991044776119403
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,household,598,0.9832775919732442
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,jump,73,0.9726027397260274
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,locomotion,1079,0.9972196478220574
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,posture,925,0.9989189189189189
canonical_protocol_only_v3,acc16_gyro_hr,non_overlapping,random_holdout,deep,improved_gnn_lstm_res,stairs,335,0.9940298507462687
canonical_protocol_only_v3,acc16_gyro_hr,overlapping,loso,deep,improved_gnn_lstm_attn_adj_resbn,household,6446,0.9197952218430034
