result_set,feature_set,window_type,family,model,test_subject,n_test_classes,accuracy,balanced_accuracy,macro_f1,weighted_f1
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,106,12.0,0.9112944816915935,0.9299166001344714,0.8705207591945903,0.9111136104356736
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,107,11.0,0.926829268292683,0.9193498923256908,0.8190520291177604,0.9341588144308164
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,108,12.0,0.5910433070866141,0.5998193843508278,0.4998639615341613,0.5365057972093464
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_attn_adj_resbn,109,1.0,1.0,1.0,0.0833333333333333,1.0
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_res,101,12.0,0.8998451213216314,0.9002970335460138,0.8983379799114345,0.8972896115084631
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_res,102,12.0,0.7047012732615083,0.7551331950337791,0.7012452574968046,0.6642342916623927
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_res,103,8.0,0.870919881305638,0.8239679244716323,0.5662849155436712,0.8812962225306478
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_res,104,10.0,0.8974930362116992,0.8999921766522145,0.7429169947383502,0.8907844232533546
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_res,105,12.0,0.9142992424242424,0.9012230705251668,0.9003425184958075,0.9143023917145916
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_res,106,12.0,0.9040742650850954,0.914505504249663,0.8480585197034717,0.905645597348226
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_res,107,11.0,0.9456762749445676,0.915518054227401,0.8506666217488547,0.9458226232516316
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_res,108,12.0,0.5625,0.5797417854352562,0.464835750690473,0.4729140683130055
canonical_protocol_only_v3,acc16_hr,non_overlapping,deep,improved_gnn_lstm_res,109,1.0,1.0,1.0,0.0833333333333333,1.0
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,101,,0.8062692702980473,0.7989979583256922,0.7988744167892873,0.8037128209995894
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,102,,0.8210628961482204,0.8063564224344502,0.8175433105372617,0.8183543779456036
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,103,,0.8061901252763449,0.8092220018508118,0.5405789903778295,0.8139408030440727
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,104,,0.8032150776053215,0.8026219481300746,0.6699089642593167,0.8063968075458887
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,105,,0.8241395568128241,0.8024280177682391,0.8130338106911311,0.8233461858254614
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,106,,0.8506160164271047,0.7762014628798158,0.777338739817886,0.8518122619887633
canonical_protocol_only,acc16_hr,non_overlapping,baseline,knn_k5,107,,0.8549365692222836,0.8208931353607752,0.7670135688633352,0.8537864158489301
